,n_components,explained_variance,reconstruction_error,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,1,0.2526437765744242,,G-Means,-0.0001879227112630212,0.9610079575596817,0.4202984985833588,0.30869104793552943,0.7711996664476418,100904.72115240131,79.68186855316162,
1,2,0.42405652947241224,,G-Means,0.0008910153750212446,0.9610079575596817,0.39661314173985546,0.48333246427574966,0.7813927670511825,17336.898816174948,80.4881820678711,
2,3,0.5552481389684125,,G-Means,0.0010481427361542196,0.9610079575596817,0.3999473554521604,0.5239326291452243,0.7625268987087065,9316.272141659498,78.19304990768433,
3,4,0.6475647109108436,,G-Means,0.0014813372310581389,0.9610079575596817,0.4075610085344453,0.572730288644708,0.7818811606329324,7429.01058652929,79.24116253852844,
4,5,0.7102381930494799,,G-Means,0.001178589628858418,0.9610079575596817,0.4075610085344453,0.6137230012446093,0.7800819827548252,5810.8716244261,78.33255529403687,
5,6,0.7530333962857996,,G-Means,-0.0009260267437012465,0.9610079575596817,0.3476402288255688,0.5619773601681401,0.7040492197044532,3377.7567966998704,78.48785877227783,
6,7,0.7880729709580535,,G-Means,-0.0009383071875553924,0.9610079575596817,0.3472841963320605,0.6224243324429981,0.6954379576408297,2757.3754503627597,78.95244455337524,
7,8,0.8120505317734182,,G-Means,-0.0009361106750604487,0.9610079575596817,0.3472841963320605,0.6930008902880352,0.6297593208231833,2171.421307454489,78.11582279205322,
8,9,0.8358728955962154,,G-Means,-0.001024401588878117,0.9610079575596817,0.3476402288255688,0.7585191617075658,0.5967138877605902,1811.4284719580262,78.65642213821411,
9,10,0.857878003119539,,G-Means,-0.002033030930151087,0.9610079575596817,0.3769829307667001,0.8151984476782745,0.578660057102104,1600.2639647587657,81.63316893577576,
10,11,0.8777236649694494,,G-Means,-0.0020506906737478565,0.9610079575596817,0.3769829307667001,0.8458946195700059,0.5561183164592548,1417.3987754477673,78.06226181983948,
11,12,0.8951027425885922,,G-Means,-0.0011412965748624146,0.9610079575596817,0.3487073610123924,0.8420692233609611,0.5314664892262347,1271.2555288277993,78.53925204277039,
12,13,0.9111981001881028,,G-Means,-0.0007117617456876972,0.9610079575596817,0.3476402288255688,0.8481791869460288,0.5296851700348533,1238.7312337375056,78.92435026168823,
13,14,0.9240206436576927,,G-Means,-0.0007680631114826043,0.9610079575596817,0.3472841963320605,0.9581831654867345,0.5046136596997854,1220.8677889206535,79.06161618232727,
14,15,0.9348607078497508,,G-Means,-0.0004630701563084509,0.9610079575596817,0.3655868448293648,0.9649651931666874,0.4870315018962521,1147.3251122189329,80.17571449279785,
15,16,0.9440980893450736,,G-Means,-0.0004288101814500332,0.9610079575596817,0.3655868448293648,0.9678326257975031,0.47696423087621764,1101.395528704738,78.01634931564331,
16,17,0.9501068419474702,,G-Means,-0.0004288101814500332,0.9610079575596817,0.3655868448293648,0.976814497875761,0.46987799141915415,1072.5919333851768,78.46654772758484,
17,18,0.9557462987609716,,G-Means,-0.00034856983400002254,0.9610079575596817,0.3655868448293648,0.9892766985857953,0.46428310088244246,1050.5632164358437,78.70983624458313,
18,19,0.9609649541406547,,G-Means,-0.0006083156105246772,0.9610079575596817,0.3472841963320605,0.9473761969021982,0.4611227490640126,1012.4723069174403,78.31699776649475,
19,20,0.9661137558044187,,G-Means,-0.0005213211105410036,0.9610079575596817,0.3472841963320605,0.9621945984095214,0.459086184817619,993.8416135922873,78.33203721046448,
20,21,0.9710421052801097,,G-Means,-0.0004816614903718913,0.9610079575596817,0.3655868448293648,1.0479772692031226,0.45837732486223465,1000.5996085132335,79.06194472312927,
21,22,0.9754428507742963,,G-Means,-0.0004816614903718913,0.9610079575596817,0.3655868448293648,1.0636815477351975,0.4547745169066186,983.5148809447699,78.35137104988098,
22,23,0.979607098008257,,G-Means,-0.001835151473807881,0.9610079575596817,0.3511917192074632,0.9701518311758671,0.4498365141614568,944.4061967711041,78.78923869132996,
23,24,0.9829860311215907,,G-Means,-0.001835151473807881,0.9610079575596817,0.3511917192074632,0.9734359406514116,0.4461886297747857,932.3721255032261,78.83680081367493,
24,25,0.9859217397526072,,G-Means,-0.001835151473807881,0.9610079575596817,0.3511917192074632,0.9749187052470428,0.4463660352032072,928.6735512106022,78.34359502792358,
25,26,0.9882533238005361,,G-Means,-0.001564748815937372,0.9610079575596817,0.369057917689066,1.029530908031462,0.447628392406617,947.1029043558235,79.11874461174011,
26,27,0.9903568868364984,,G-Means,-0.0015071972513445722,0.9610079575596817,0.369057917689066,1.05049575548564,0.44719190734822334,942.8320481148018,78.6025218963623,
27,28,0.9922844567743061,,G-Means,-0.0015071972513445722,0.9610079575596817,0.369057917689066,1.0524089980829643,0.44628991280731634,938.7841919091826,80.0321774482727,
28,29,0.9940054294596457,,G-Means,-0.00040725234403512204,0.9610079575596817,0.3655868448293648,1.0853514476358657,0.4471314281553331,938.5317354084574,78.18039155006409,
29,30,0.9954098678150477,,G-Means,-0.00040725234403512204,0.9610079575596817,0.3655868448293648,1.0867771989397348,0.44674177248953795,933.9442221725122,79.02546381950378,
30,31,0.9967058480855189,,G-Means,-0.00040725234403512204,0.9610079575596817,0.3655868448293648,1.0886974994386847,0.44647317435744266,929.9330363667976,79.50622749328613,
31,32,0.9979178472162178,,G-Means,-0.00040725234403512204,0.9610079575596817,0.3655868448293648,1.0904476094896836,0.44617906866356855,926.0176426755029,78.14144134521484,
