,n_components,explained_variance,reconstruction_error,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,1,0.22940612490978893,34.124020705318664,G-Means,0.00637780898741834,0.1494949494949495,0.226448087431694,0.42063571409723577,0.6270397511111475,15768.452967360598,25.10650897026062,
1,2,0.2963717320928304,32.60761688729319,G-Means,0.02654157057709924,0.19494949494949496,0.22631093544137026,0.820281448937248,0.3375038941289407,2041.1826347397955,43.88139367103577,
2,3,0.3562718944708074,31.188799317786433,G-Means,0.019849689967320693,0.17272727272727273,0.22415531080828824,1.0925814346215694,0.2880978916129974,442.4977341701989,38.07273554801941,
3,4,0.40973671752798013,29.865535397254177,G-Means,0.006195568702432064,0.15858585858585858,0.23672590199246094,1.5841860510641645,0.30528708510904723,260.7994430301369,34.87702703475952,
4,5,0.4585594290306837,28.60373974546529,G-Means,0.01833176425882566,0.16363636363636364,0.18280901659648252,1.253619685469137,0.24456687319265147,415.2196369333283,44.98055577278137,
5,6,0.5063218731136302,27.312997389861444,G-Means,0.0055929771660627875,0.14747474747474748,0.1948038524782711,1.2531471194266146,0.23073439426601144,209.1645282661628,43.35163474082947,
6,7,0.5522263218380984,26.01217700940232,G-Means,0.02398059627122418,0.16363636363636364,0.18589090909090908,1.4825143480316434,0.2330479104787142,238.62955605725878,32.8216769695282,
7,8,0.597028301530433,24.676564314052204,G-Means,0.0008624814823503226,0.12626262626262627,0.1701083946514756,1.2963762659924436,0.21834231623486133,200.7061072782884,24.321779012680054,
8,9,0.6413564424246867,23.27978351330638,G-Means,-0.0032580759253548718,0.11313131313131314,0.14398530762167125,1.206870553310639,0.3375055634901978,243.13507890537193,23.347018003463745,
9,10,0.6853685642850723,21.804617691383633,G-Means,0.0010444211640295287,0.12626262626262627,0.15941122135812402,1.3361942981485226,0.28152323527322753,194.00045047638233,20.36486005783081,
10,11,0.7292353530487875,20.227555427625678,G-Means,-0.0031807241349403968,0.12323232323232323,0.17797105450863993,1.5382517370082895,0.19610960180093032,88.82287368452711,27.21027708053589,
11,12,0.7729119803355857,18.524416281698837,G-Means,0.0005064455001430458,0.13636363636363635,0.18443427076520602,1.487280171139405,0.2032257119255333,89.37715802656908,21.34427523612976,
12,13,0.8165886076223839,16.647942773137736,G-Means,-0.0009302933435345029,0.12121212121212122,0.1766077060194707,1.3363084712861686,0.2186741269761026,103.46518763097482,20.537811279296875,
13,14,0.8602652349091822,14.53113892912971,G-Means,-0.0011323706507641639,0.12424242424242424,0.19623931623931623,1.3028659595405043,0.20375747334019217,63.68227254078633,21.684407234191895,
14,15,0.8968260668086017,12.486261148729838,G-Means,-0.003400121978153218,0.1101010101010101,0.16552771450265755,1.148882743603661,0.2740368376196599,109.24102210977149,26.90879988670349,
15,16,0.9310992252359942,10.203742096439312,G-Means,-0.003306618142081753,0.11515151515151516,0.17117117117117117,1.1308611416615548,0.3216629236768111,107.00682098220189,27.042033910751343,
16,17,0.9518298558559798,8.531716057729078,G-Means,-0.0035404364907343083,0.10707070707070707,0.16207951070336393,1.3180867496739195,0.32138943078525556,125.08374929229784,26.43534541130066,
17,18,0.9631192120330472,7.465304316469123,G-Means,-0.0038653563847519377,0.10909090909090909,0.16438356164383564,1.2960110447147093,0.289963938670374,99.50963600840751,54.92967510223389,
18,19,0.9729888733753252,6.388792305887015,G-Means,-0.0033294350279341293,0.10909090909090909,0.16438356164383564,1.3057854447070396,0.3035751878027244,118.89567429926898,36.72602462768555,
19,20,0.9818414849568519,5.238266449714967,G-Means,-0.004610925771672524,0.10303030303030303,0.14863387978142076,1.4117009029679346,0.33155106167278475,139.57833925006594,33.34317207336426,
20,21,0.9891687056267959,4.045643404227237,G-Means,-0.002137234169607158,0.11414141414141414,0.17005267118133935,1.5442661666223538,0.21827675209121647,95.45179415328826,32.85336947441101,
21,22,0.9947455708598149,2.81780016499764,G-Means,-0.0031161415546658512,0.10909090909090909,0.16438356164383564,1.3451153529444626,0.2938895102168363,114.74177240328979,44.421741247177124,
22,23,0.9989206513757081,1.2771099589846082,G-Means,-0.004754954224516671,0.10606060606060606,0.16091954022988506,1.3175010506881668,0.30092332939377425,110.88003999983606,42.699432611465454,
23,24,1.0,4.756875300083281e-14,G-Means,-0.004754954224516671,0.10606060606060606,0.16091954022988506,1.3191573419460438,0.3001474244423721,110.61630837698827,43.32275629043579,
24,25,1.0,4.587446290185701e-14,G-Means,-0.004754954224516671,0.10606060606060606,0.16091954022988506,1.3191573419460438,0.3001474244423721,110.61630837698827,44.7704541683197,
25,26,1.0,4.55948250456392e-14,G-Means,-0.004754954224516671,0.10606060606060606,0.16091954022988506,1.3191573419460438,0.3001474244423721,110.61630837698827,45.82785725593567,
