,n_components,explained_variance,reconstruction_error,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,1,0.2548578561009788,75.77947683662236,G-Means,-0.0010639615799906549,0.9610079575596817,0.33508253761766477,0.356668948479062,0.7313513372516967,98988.2201811293,111.64759230613708,
1,2,0.4372917381917779,65.85271500993696,G-Means,0.0015360224857955296,0.9610079575596817,0.40194089646023795,0.40247189463120076,0.7975820213683715,32990.889970787604,96.53901767730713,
2,3,0.5552798819023691,58.543061137212725,G-Means,0.0006151629145012267,0.9610079575596817,0.39694722031484003,0.5170449726917067,0.7528287175562889,9316.031647502317,67.89132738113403,
3,4,0.6324224327192767,53.22388091887799,G-Means,0.0011427870758085172,0.9610079575596817,0.39694722031484003,0.5314305663788585,0.7041999640050259,6383.921685824603,67.29659986495972,
4,5,0.6938539360379573,48.5731623719429,G-Means,0.0009805787220367758,0.9610079575596817,0.4075610085344453,0.5556427332898711,0.718022559325541,4523.236527521904,66.70408916473389,
5,6,0.7407358736987391,44.69956055291206,G-Means,-0.0012432090977247774,0.9610079575596817,0.3472841963320605,0.6181652887593898,0.7129893140597886,3132.6784307755847,65.93451738357544,
6,7,0.7714862166772417,41.965097792829575,G-Means,-0.0010623768429760502,0.9610079575596817,0.3472841963320605,0.7032065528591515,0.6165857807199607,2183.8402590706232,67.58387851715088,
7,8,0.8007633845869077,39.18470818865256,G-Means,-0.0015466001047688398,0.9610079575596817,0.31010303074958245,0.7722455458356089,0.5867656912792283,1765.2681556806924,68.29772615432739,
8,9,0.8289178932042277,36.31067597974665,G-Means,-0.0016336227155678564,0.9610079575596817,0.31010303074958245,0.8264002511636107,0.581354110116042,1527.72454407173,66.02734088897705,
9,10,0.8544831376798253,33.48796060258408,G-Means,-0.001634516069150046,0.9610079575596817,0.31010303074958245,0.8242289342432053,0.5515140417641667,1332.3294411778488,64.56992292404175,
10,11,0.8762268225176822,30.884836692125454,G-Means,-0.00181861934871568,0.9610079575596817,0.31047607237984626,0.8582170113832976,0.5363462317765282,1215.5554423556102,65.17460918426514,
11,12,0.8974573248744384,28.111522073045755,G-Means,-0.0017289491174431503,0.9610079575596817,0.31010303074958245,0.896369155797707,0.5090444846275073,1107.7446629673161,64.75191259384155,
12,13,0.913351563133024,25.841183820795703,G-Means,-0.0010222069513543966,0.9610079575596817,0.3476402288255688,0.9284190454372325,0.4790725415350576,1057.0563679506288,64.49733400344849,
13,14,0.9263211889114983,23.828864286799295,G-Means,-0.0010251367042734673,0.9610079575596817,0.3476402288255688,0.9544930636137243,0.4640867613128603,1004.1098972616053,64.18451619148254,
14,15,0.9378841436727172,21.879292663519045,G-Means,-0.0010222069513543966,0.9610079575596817,0.3476402288255688,0.9720169170618204,0.45567784652043886,961.3679367589547,65.89239811897278,
15,16,0.9455908423063049,20.477080637214872,G-Means,-0.0010050296469629055,0.9610079575596817,0.3472841963320605,1.0033316863470707,0.4568465979219309,958.9500519020384,64.36746072769165,
16,17,0.9527834833371083,19.075635329064767,G-Means,-0.0010050296469629055,0.9610079575596817,0.3472841963320605,1.0175233375506632,0.45000169687020314,932.2614161788695,64.60223746299744,
17,18,0.9596607412724163,17.63177340509227,G-Means,-0.0010050296469629055,0.9610079575596817,0.3472841963320605,1.0321353399997244,0.4427605444896479,908.0643761296654,64.0885579586029,
18,19,0.965956741009693,16.197485639354017,G-Means,-0.0008571623032704843,0.9610079575596817,0.3472841963320605,1.0475395663658122,0.4396874922181803,887.8346112152311,64.4005057811737,
19,20,0.9719171778196425,14.711346145934593,G-Means,-0.0010085985970412403,0.9610079575596817,0.3476402288255688,1.053683533699537,0.4367025432003421,870.7605413934032,64.21049666404724,
20,21,0.9774921688493645,13.170396914424215,G-Means,-0.0011509285492469522,0.9610079575596817,0.347996100364062,1.0665126085796726,0.42878810843882026,853.5105046270227,64.4528820514679,
21,22,0.9829144582141701,11.474834134187999,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.0586142647326366,0.4236707931578073,836.1960271688891,64.22339940071106,
22,23,0.9880606735160558,9.592282339353012,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.0666370558134266,0.4198157449397896,821.4398294576567,63.902384996414185,
23,24,0.9923647011191561,7.670877726944291,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.0724547131176547,0.4160085146593834,809.459688456899,64.3105800151825,
24,25,0.9955039159200615,5.886392963051317,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.081431238015491,0.4101994566107552,800.99071866941,65.37989902496338,
25,26,0.9977439488945508,4.16971628541631,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.0840000912898469,0.408388238722352,795.0599785712042,63.95700430870056,
26,27,0.9988525651592738,2.973692486353355,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.0867798183090729,0.40628103510349695,792.1357830401457,64.22097563743591,
27,28,0.9996551342618111,1.6302607184415152,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.0885255481779696,0.40556035484381814,790.0355725438802,67.08317112922668,
28,29,0.9997881726723111,1.2776827542944782,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.0886294123215987,0.40549047510647307,789.6888588049493,77.16534733772278,
29,30,0.9999142146225081,0.8130900986875765,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.0886694704250524,0.4054580407950265,789.3598193317819,77.48079466819763,
30,31,1.0000000000000004,2.861387895961031e-13,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.0888577796432715,0.40537465800032635,789.1361023625244,80.22595262527466,
31,32,1.0000000000000004,1.4114464818399696e-13,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.0888577796432715,0.40537465800032635,789.1361023625242,81.01755547523499,
32,33,1.0000000000000004,1.0035896044015992e-13,G-Means,-0.0024344046095236167,0.9610079575596817,0.3519000953950221,1.0888577796432715,0.40537465800032635,789.1361023625243,83.83152604103088,
