,n_components,explained_variance,reconstruction_error,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,1,0.22940612490978893,34.124020705318664,Optics,0.004289650778087539,0.19494949494949496,0.2767403356877041,1.0068048070744802,-0.09142671119121006,48.0248300765636,0.23649811744689941,
1,2,0.2963717320928304,32.60761688729319,Optics,0.004911176728307589,0.16464646464646465,0.2669529206114572,1.0481413119796097,-0.38489180323884714,42.37832869746877,0.21350479125976562,
2,3,0.3562718944708074,31.188799317786433,Optics,0.012554954411220686,0.1797979797979798,0.28210433634162446,1.1372739333434663,-0.27727021247502753,36.86990937474793,0.21605348587036133,
3,4,0.40973671752798013,29.865535397254177,Optics,0.018272289113984087,0.1797979797979798,0.2824777899476694,1.1772870113721217,-0.22050300846992302,38.132787418000596,0.22383546829223633,
4,5,0.4585594290306837,28.60373974546529,Optics,0.047350552956040154,0.2,0.2871794871794872,1.2331380041309705,-0.06169879802672354,44.94688283808131,0.21965265274047852,
5,6,0.5063218731136302,27.312997389861444,Optics,0.031674032556315075,0.17474747474747473,0.2422917114406476,1.1806874393938227,0.09865601916932759,78.54539780437996,0.23675870895385742,
6,7,0.5522263218380984,26.01217700940232,Optics,0.031884671005606706,0.17474747474747473,0.24074921880677275,1.143255609317937,0.11558217280741555,80.01868165005546,0.21925783157348633,
7,8,0.597028301530433,24.676564314052204,Optics,0.028294079632441224,0.16262626262626262,0.21430833761342236,1.2134962017184612,0.18140711610627494,94.02992035669527,0.2039785385131836,
8,9,0.6413564424246867,23.27978351330638,Optics,0.039282128300607254,0.17474747474747473,0.23996120626555406,1.2097507878916105,0.12520284317555172,76.53255976428167,0.21960783004760742,
9,10,0.6853685642850723,21.804617691383633,Optics,0.044143867714866614,0.18686868686868688,0.24569771791994016,1.1952290034556197,0.13990367779729423,78.2557155626067,0.2665843963623047,
10,11,0.7292353530487875,20.227555427625678,Optics,0.04191426182818838,0.1808080808080808,0.2300525581013386,1.2113044185898414,0.2176943378410418,89.41370259558353,0.2515380382537842,
11,12,0.7729119803355857,18.524416281698837,Optics,0.04159951963148494,0.1808080808080808,0.2300525581013386,1.1906689545527744,0.22413281645036723,91.55551331880382,0.23571062088012695,
12,13,0.8165886076223839,16.647942773137736,Optics,0.03837028107792758,0.1808080808080808,0.231898139713771,1.149796149889008,0.22488174741892678,92.64673967224752,0.22068166732788086,
13,14,0.8602652349091822,14.53113892912971,Optics,0.029799718763300134,0.17474747474747473,0.22247262541380183,1.1488349618524107,0.25513803031797405,99.24123581884442,0.2352607250213623,
14,15,0.8968260668086017,12.486261148729838,Optics,0.05608371749618311,0.1808080808080808,0.2585440391172875,1.1950362238304577,0.10000767411859564,61.62544137118684,0.2352595329284668,
15,16,0.9310992252359942,10.203742096439312,Optics,0.043450130842648566,0.16363636363636364,0.22609299097848715,1.2218274909870135,0.22172445004327276,82.2902364957003,0.2349376678466797,
16,17,0.9518298558559798,8.531716057729078,Optics,0.04335417036092881,0.18686868686868688,0.27280100272801006,1.2116685031513246,0.019114462747816554,47.182624174028916,0.2411024570465088,
17,18,0.9631192120330472,7.465304316469123,Optics,0.0414882208149645,0.18888888888888888,0.27373588610702015,1.2384733382857989,0.021227276986566783,44.76375441031007,0.2356245517730713,
18,19,0.9729888733753252,6.388792305887015,Optics,0.02777901561908157,0.1696969696969697,0.2422590470290641,1.2714674541279327,0.10737788663984742,60.12042440820804,0.24686694145202637,
19,20,0.9818414849568519,5.238266449714967,Optics,0.03290081073742193,0.17575757575757575,0.2530229834577661,1.2971243680737465,0.06852100790294247,52.9666739935943,0.2351231575012207,
20,21,0.9891687056267959,4.045643404227237,Optics,0.03412703139015605,0.1686868686868687,0.23361422698439277,1.3129704894789216,0.13354552420152369,66.01406647078795,0.2358253002166748,
21,22,0.9947455708598149,2.81780016499764,Optics,0.05059940163501338,0.19595959595959597,0.2645618665719168,1.3107472032115757,0.0998388881066319,54.32531637065949,0.25131821632385254,
22,23,0.9989206513757081,1.2771099589846082,Optics,0.021783888213374857,0.16464646464646465,0.2170026626093572,1.3159809738247727,0.20301651569316706,76.98619469946853,0.28292202949523926,
23,24,1.0,4.756875300083281e-14,Optics,0.03584515123085535,0.1707070707070707,0.2243776507468191,1.33385170887022,0.20238921968137816,74.81330339508747,0.2365124225616455,
24,25,1.0,4.587446290185701e-14,Optics,0.03584515123085535,0.1707070707070707,0.2243776507468191,1.33385170887022,0.20238921968137816,74.81330339508747,0.2514002323150635,
25,26,1.0,4.55948250456392e-14,Optics,0.03584515123085535,0.1707070707070707,0.2243776507468191,1.33385170887022,0.20238921968137816,74.81330339508747,0.25231432914733887,
